Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,688199598428,title,en,,,Ej importerade produkter,Non-imported products
COLLECTION,688199696732,title,en,,,Spel på Svenska,Games in Swedish
COLLECTION,688199631196,title,en,,,Dominion,Dominion
COLLECTION,688199631196,meta_title,en,,,Dominion – Det ultimata kortbaserade strategispelet | Dragon’s Lair,Dominion – The Ultimate Deck-Building Strategy Game | Dragon’s Lair
COLLECTION,688199631196,meta_description,en,,,Bygg ditt rike i Dominion! Det klassiska deckbuilding-spelet där du strategiskt skapar din kortlek för att dominera motståndarna.,Build your kingdom in Dominion! The classic deck-building game where you strategically craft your deck to outmaneuver opponents.
COLLECTION,688199663964,title,en,,,Ticket to Ride,Ticket to Ride
COLLECTION,688199663964,meta_title,en,,,Ticket to Ride – Det klassiska tågspelet | Dragon’s Lair,Ticket to Ride – The Classic Train Adventure Game | Dragon’s Lair
COLLECTION,688199663964,meta_description,en,,,Bygg järnvägar och erövra världen i Ticket to Ride! Ett strategiskt och lättlärt spel där du tävlar om att skapa de bästa tågrutterna.,Build railways and conquer the world in Ticket to Ride! A strategic yet easy-to-learn game where you compete to create the best train routes.
COLLECTION,688199729500,title,en,,,Monopol,Monopol
COLLECTION,688199729500,meta_title,en,,,Monopol – Det klassiska spelet om ekonomi & strategi | Dragon’s Lair, Monopoly – The Classic Game of Strategy & Wealth | Dragon’s Lair
COLLECTION,688199729500,meta_description,en,,,"Köp, sälj och bygg dig till framgång i Monopol! Det ikoniska spelet där du förhandlar, investerar och försöker bli den rikaste spelaren.","Buy, sell, and build your way to success in Monopoly! The iconic game where you negotiate, invest, and compete to become the richest player."
COLLECTION,688199762268,title,en,,,Yatzy och Tärningsspel,Yatzy and Dice Game
COLLECTION,688199762268,meta_title,en,,,Yatzy & Tärningsspel – Klassiska & strategiska spel | Dragon’s Lair,Yatzy & Dice Games – Classic & Strategic Fun | Dragon’s Lair
COLLECTION,688199762268,meta_description,en,,,"Slå tärningarna och utmana turen! Upptäck Yatzy och andra tärningsspel – enkla att lära, roliga att spela och perfekta för alla åldrar.","Roll the dice and test your luck! Discover Yatzy and other dice games – easy to learn, fun to play, and perfect for all ages."
COLLECTION,688199795036,title,en,,,Carcassonne,Carcassonne
COLLECTION,688199795036,meta_title,en,,, Carcassonne – Det klassiska strategispelet | Dragon’s Lair,Carcassonne – The Classic Tile-Laying Strategy Game | Dragon’s Lair
COLLECTION,688199795036,meta_description,en,,,Bygg landskap och tävla om poäng i Carcassonne! Det populära strategispelet med brickläggning och taktik – perfekt för både nybörjare & proffs.,Build landscapes and compete for points in Carcassonne! A beloved tile-laying strategy game – perfect for beginners & experienced players alike.
COLLECTION,688199827804,title,en,,,Cluedo,Cluedo
COLLECTION,688199827804,meta_title,en,,,Cluedo – Det klassiska mysteriespelet | Dragon’s Lair,Clue (Cluedo) – The Classic Mystery Game | Dragon’s Lair
COLLECTION,688199827804,meta_description,en,,,Vem är mördaren? Lös mysteriet i Cluedo – det klassiska deckarspelet där du samlar ledtrådar och avslöjar den skyldige före dina motståndare!,Who is the murderer? Solve the mystery in Clue – the classic detective game where you gather clues and uncover the culprit before your opponents!
COLLECTION,688199860572,title,en,,,Catan,Catan
COLLECTION,688199860572,meta_title,en,,,Catan – Det ikoniska strategispelet | Dragon’s Lair,Catan – The Iconic Strategy Game | Dragon’s Lair
COLLECTION,688199860572,meta_description,en,,,"Bygg, handla och erövra i Catan! Det klassiska strategispelet där du tävlar om resurser och makt. Perfekt för både familj och vänner!","Build, trade, and conquer in Catan! The classic strategy game where you compete for resources and power. Perfect for family and friends!"
COLLECTION,688199926108,title,en,,,Mahjong,Mahjong
