Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,15554390032732,body_html,en,,,"<p>Futuristiska träkrediter som tar dina sci-fi- och cyberpunkspel till nästa nivå. Coin Chest 2 är ett stilrent och hållbart alternativ till vanliga kartongpengar.</p>
<p>Setet innehåller 150 FSC-certifierade trämarkers med metalliskt tryck på båda sidor, i sex olika valörer. De levereras i en tematiserad ""lockbox"" med magnetlås – både snygg och funktionell för spel och förvaring.</p>
<p>Innehåller 150 träkrediter:<br>• 40 st ""1"" (10 x 20 mm)<br>• 35 st ""5"" (10 x 22 mm)<br>• 25 st ""10"" (15 x 25 mm)<br>• 20 st ""20"" (15 x 28 mm)<br>• 15 st ""50"" (18 x 32 mm)<br>• 15 st ""100"" (20 x 35 mm)</p>
<p> </p>
<ul>
<li>Sci-fi-inspirerad låda med magnetisk stängning</li>
<li>Tryckta med metalliskt bläck på båda sidor</li>
<li>4 mm tjocka, tillverkade i FSC-certifierat trä</li>
<li>Perfekta till rollspel, sci-fi-brädspel och cyberpunkmiljöer</li>
</ul>","<p>Sleek wooden credit tokens designed for sci-fi and cyberpunk tabletop games. A perfect upgrade from cardboard money with a futuristic flair.</p>
<p>The set contains 150 double-sided tokens printed with metallic ink, made from 4mm thick FSC-certified wood. All tokens come in a stylish sci-fi-inspired lockbox with magnetic closure – practical, immersive, and built to last.</p>
<p>Total of 150 wooden credit tokens:<br>• 40 x ""1"" (10 x 20 mm)<br>• 35 x ""5"" (10 x 22 mm)<br>• 25 x ""10"" (15 x 25 mm)<br>• 20 x ""20"" (15 x 28 mm)<br>• 15 x ""50"" (18 x 32 mm)<br>• 15 x ""100"" (20 x 35 mm)</p>
<p> </p>
<ul>
<li>Futuristic lockbox with magnetic closure</li>
<li>Printed with metallic ink on both sides</li>
<li>4mm thick, made from FSC-certified wood</li>
<li>Ideal for sci-fi board games, RPGs, and cyberpunk campaigns</li>
</ul>"
PRODUCT,15554390032732,meta_title,en,,,Pengar i trä (Sci-Fi Kredits/sedlar),Wooden Money (Sci-Fi Credits/Banknotes)
PRODUCT,15554390032732,meta_description,en,,,Stilrena träkrediter i sex storlekar – totalt 150 tokens i sci-fi-låda. Ett smart byte mot kartongpengar.,"Premium set of 150 wooden credit tokens for sci-fi and cyberpunk games. Durable, metallic and ready for the future."
PRODUCT,15554390163804,title,en,,,Durgaz arvtagare - ett tredjepartssupplement till Drakar och Demoner,Durgaz arvtagare - ett tredjepartssupplement till Drakar och Demoner
PRODUCT,15554390163804,meta_title,en,,,Durgaz arvtagare - ett tredjepartssupplement till Drakar och Demoner,Durgaz arvtagare - ett tredjepartssupplement till Drakar och Demoner
PRODUCT,15554390163804,meta_description,en,,,"Durgaz arvtagare – tredje parts äventyr till Drakar och Demoner. Nordmark, orcher, gåtor och arv i en mörk, kampanjvänlig paket.","Durgaz arvtagare – third‑party adventure for Drakar och Demoner. Orcs, legacy, puzzles in a dark Nordmark setting. Campaign‑ready supplement."
PRODUCT,15554390163804,metafield.custom.description_short,en,,,"Durgaz arvtagare är ett nytt spännande äventyr från Lehto Spel & Media. Äventyret är skrivet av Marie Östling och illustrerat av Lasse Partanen. Äventyret utspelas i Nordmark, och är en fristående fortsättning på Den brända jorden och Bordonius öde.","A standalone Drakar och Demoner adventure set in Nordmark, featuring orcs, riddles, legacy, and deep campaign hooks."
PRODUCT,15554390196572,title,en,,,Fearless,Fearless
PRODUCT,15554390196572,body_html,en,,,"<p>I Fearless vandrar du genom en mörk och kuslig skog – och försöker hålla dig så nära den säkra stigen som möjligt. Ju mer du avviker, desto större skräck drabbar dig. Men att stå stilla är inget alternativ: du måste våga för att vinna!</p>
<p>Det här är ett klurigt sticktagningsspel med fyra färger och ovanliga kortvärden – från +6 till -6 i varje färg. Målet är att samla en balanserad hand av positiva och negativa poäng. En jämn fördelning ger minst rädsla – men dina motspelare kommer göra sitt bästa för att skrämma dig på vägen.</p>
<ul>
<li>Stämningsfullt sticktagningsspel för modiga spelare</li>
<li>Innehåller kort med värden från +6 till -6 i varje färg</li>
<li>Inget trumf, högsta kort i utspelad färg vinner sticket</li>
<li>Balans är nyckeln: samla både minus och plus<br>Den mest orädda spelaren efter flera rundor vinner</li>
</ul>","<p>In Fearless, you wander through a gloomy forest and try to stay close to the safe path. The farther you stray, the more fear you suffer — but standing still isn't an option. Move forward, stay brave, and try to keep your nerves intact!</p>
<p>This clever trick-taking game features four suits and no trumps, with a twist: cards range from +6 to -6 in each suit. You're trying to balance your score by collecting both positive and negative cards. A perfect balance means less fear — but your opponents will do everything they can to throw you off course.</p>
<ul>
<li>Trick-taking game with a moody forest theme</li>
<li>Unique scoring: cards range from +6 to -6 in each suit</li>
<li>Highest card in the led suit wins the trick</li>
<li>Balance your score for the least fear</li>
<li>Be the most fearless after several rounds to win</li>
</ul>"
PRODUCT,15554390196572,meta_title,en,,,Fearless,Fearless
PRODUCT,15554390196572,meta_description,en,,,Fearless är ett stickspel där balans är allt – samla både negativa och positiva kort och undvik att skrämmas för mycket.,"Fearless is a twisty trick-taking game where you balance fear and courage with cards from +6 to -6. Stay brave, stay on track!"
PRODUCT,15554390262108,title,en,,,The Dark Quarter,The Dark Quarter
